category,item,action,since_last_deploy,notes
BACKEND_MODIFIED,backend/app/Models/RoomBooking.php,upload,EARLIER,discount + net_amount fillable/casts.
BACKEND_MODIFIED,backend/app/Models/UltrasoundExam.php,upload,EARLIER,discount + net_amount fillable/casts.
BACKEND_MODIFIED,backend/app/Models/XrayReceipt.php,upload,EARLIER,xray_type_id fillable + xrayType relation.
BACKEND_MODIFIED,backend/routes/api.php,upload,EARLIER,"5 X-Ray type routes + 10 dental routes, each permission-protected."
PERMISSION,manage_default_discounts,import CSV then ASSIGN TO ROLES,EARLIER,Settings | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | Set the standing per-hospital discount.
PERMISSION,view_xray_types,import CSV then ASSIGN TO ROLES,EARLIER,Radiology | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | See the X-Ray study catalogue.
PERMISSION,add_xray_types,import CSV then ASSIGN TO ROLES,EARLIER,Radiology | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | Create an X-Ray study.
PERMISSION,edit_xray_types,import CSV then ASSIGN TO ROLES,EARLIER,Radiology | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | Change an X-Ray study.
PERMISSION,delete_xray_types,import CSV then ASSIGN TO ROLES,EARLIER,Radiology | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | Remove an X-Ray study.
PERMISSION,manage_xray_types,import CSV then ASSIGN TO ROLES,EARLIER,Radiology | source: backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv | Full control of the X-Ray catalogue.
PERMISSION,view_dental_services,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | See the dental service catalogue.
PERMISSION,add_dental_services,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Create a dental service.
PERMISSION,edit_dental_services,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Change a dental service.
PERMISSION,delete_dental_services,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Remove a dental service.
PERMISSION,manage_dental_services,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Full control of the dental catalogue.
PERMISSION,view_dental_receipts,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | See the dental receipts list.
PERMISSION,add_dental_receipts,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Raise a dental receipt.
PERMISSION,edit_dental_receipts,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Change a dental receipt.
PERMISSION,delete_dental_receipts,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Remove a dental receipt.
PERMISSION,manage_dental_receipts,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Full control of dental receipts.
PERMISSION,print_dental_receipt,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Print a dental receipt.
PERMISSION,manage_dental_payments,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Take payment against a dental receipt.
PERMISSION,reverse_dental_payment,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | Undo a dental payment.
PERMISSION,view_dashboard_dental_fees,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | See dental income on the dashboard.
PERMISSION,view_dashboard_count_dental,import CSV then ASSIGN TO ROLES,EARLIER,Dental | source: backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv | See the dental count on the dashboard.
PERMISSION,backdate_receipts,import CSV then ASSIGN TO ROLES,NEW,"Settings | source: backend/docs/PERMISSIONS_NEW_2026_09_11_BACKDATE.csv | MUST GRANT: without it the Date field is locked on Ultrasound, X-Ray and Dental for all 51 non-super-admin users."
PERMISSION_CSV,backend/docs/PERMISSIONS_NEW_2026_09_09_DISCOUNTS_XRAY_TYPES.csv,import via the permissions screen,EARLIER,6 rows: manage_default_discounts + 5 X-Ray type rights.
PERMISSION_CSV,backend/docs/PERMISSIONS_NEW_2026_09_10_DENTAL.csv,import via the permissions screen,EARLIER,15 rows: the whole dental family.
PERMISSION_CSV,backend/docs/PERMISSIONS_NEW_2026_09_11_BACKDATE.csv,import via the permissions screen,NEW,1 row: backdate_receipts.
FRONTEND,frontend/src/app/components/UltrasoundManagement.tsx,rebuild (npm run build) + upload dist/,NEW,Date renamed/moved + permission-gated; result form shows read-only summary; wider modal; submit auto-completes a draft.
FRONTEND,frontend/src/app/components/XrayReceipts.tsx,rebuild (npm run build) + upload dist/,NEW,"Types tab, study picker, richer patient/doctor dropdown lines, gated Date, 2dp fee, receipt layout."
FRONTEND,frontend/src/app/components/XrayTypes.tsx,rebuild (npm run build) + upload dist/,NEW,"Catalogue CRUD: view modal, toggle, no code/sort-order columns."
FRONTEND,frontend/src/app/components/DentalReceipts.tsx,rebuild (npm run build) + upload dist/,NEW,"Dental cash desk, same treatment as X-Ray."
FRONTEND,frontend/src/app/components/DentalServices.tsx,rebuild (npm run build) + upload dist/,NEW,Dental catalogue CRUD.
FRONTEND,frontend/src/app/components/GeneralSettings.tsx,rebuild (npm run build) + upload dist/,NEW,Default Discounts panel (6 fields) + NEW doctor-phone toggle.
FRONTEND,frontend/src/app/context/SettingsContext.tsx,rebuild (npm run build) + upload dist/,NEW,"roomBooking discount, print-module keys, NEW showDoctorPhoneOnPrescription."
FRONTEND,frontend/src/app/components/PrescriptionPrint.tsx,rebuild (npm run build) + upload dist/,NEW,Optional doctor phone line on the letterhead.
FRONTEND,frontend/src/i18n/config.ts,rebuild (npm run build) + upload dist/,NEW,"nav.dental, dental dashboard labels, ultrasound.date - 4 languages."
FRONTEND,frontend/src/app/components/Dashboard.tsx,rebuild (npm run build) + upload dist/,EARLIER,"Dental fee panel + count card, permission-gated."
FRONTEND,frontend/src/app/components/Sidebar.tsx,rebuild (npm run build) + upload dist/,EARLIER,Dental entry; X-Ray type permissions.
FRONTEND,frontend/src/app/App.tsx,rebuild (npm run build) + upload dist/,EARLIER,Dental route; widened X-Ray guard.
FRONTEND,frontend/src/app/api/dental.ts,rebuild (npm run build) + upload dist/,EARLIER,Dental API client.
FRONTEND,frontend/src/app/api/xray.ts,rebuild (npm run build) + upload dist/,EARLIER,X-Ray type API client.
FRONTEND,frontend/src/app/api/ultrasound.ts,rebuild (npm run build) + upload dist/,EARLIER,Discount fields on the exam type.
FRONTEND,frontend/src/app/components/LabTestManagementNew.tsx,rebuild (npm run build) + upload dist/,EARLIER,Seeds the lab discount from the hospital default.
FRONTEND,frontend/src/app/components/SurgeryManagement.tsx,rebuild (npm run build) + upload dist/,EARLIER,Seeds the surgery discount.
FRONTEND,frontend/src/app/components/RoomBookingManagement.tsx,rebuild (npm run build) + upload dist/,EARLIER,Sends the rate not the amount; fixes discount wipe on edit.
